Approved_symbol,HGNC_ID,Approved_symbol,Chromosome,Locus_group,Locus_type,HGNC_family_name,Date_symbol_changed,Ensembl_gene_ID,NCBI_gene_ID,UniProt_accession
ACSBG2,HGNC:24174,ACSBG2,19,protein-coding gene,gene with protein product,,,ENSG00000130377,81616,Q5FVE4
ACSF2,HGNC:26101,ACSF2,17,protein-coding gene,gene with protein product,,,ENSG00000167107,80221,Q96CM8
ACSF3,HGNC:27288,ACSF3,16,protein-coding gene,gene with protein product,,,ENSG00000176715,197322,Q4G176
ACSL1,HGNC:3569,ACSL1,4,protein-coding gene,gene with protein product,,2004-02-20,ENSG00000151726,2180,P33121
ACSL3,HGNC:3570,ACSL3,2,protein-coding gene,gene with protein product,,2004-02-20,ENSG00000123983,2181,O95573
ACSL3-AS1,HGNC:40227,ACSL3-AS1,2,non-coding RNA,"RNA, long non-coding",,,ENSG00000234193,105373904,
ACSL4,HGNC:3571,ACSL4,X,protein-coding gene,gene with protein product,,2004-02-20,ENSG00000068366,2182,O60488
ACSL5,HGNC:16526,ACSL5,10,protein-coding gene,gene with protein product,,2004-02-20,ENSG00000197142,51703,Q9ULC5
ACSL6,HGNC:16496,ACSL6,5,protein-coding gene,gene with protein product,,2004-02-20,ENSG00000164398,23305,Q9UKU0
ACSL6-AS1,HGNC:40772,ACSL6-AS1,5,non-coding RNA,"RNA, long non-coding",,,ENSG00000223548,101927693,
ACSM1,HGNC:18049,ACSM1,16,protein-coding gene,gene with protein product,,2005-09-08,ENSG00000166743,116285,Q08AH1
ACSM2A,HGNC:32017,ACSM2A,16,protein-coding gene,gene with protein product,,,ENSG00000183747,123876,Q08AH3
ACSM2B,HGNC:30931,ACSM2B,16,protein-coding gene,gene with protein product,,2007-06-20,ENSG00000066813,348158,Q68CK6
ACSM3,HGNC:10522,ACSM3,16,protein-coding gene,gene with protein product,,2005-09-08,ENSG00000005187,6296,Q53FZ2
ACSM4,HGNC:32016,ACSM4,12,protein-coding gene,gene with protein product,,,ENSG00000215009,341392,P0C7M7
ACSM5,HGNC:26060,ACSM5,16,protein-coding gene,gene with protein product,,,ENSG00000183549,54988,Q6NUN0
ACSM5P1,HGNC:51295,ACSM5P1,16,pseudogene,pseudogene,,,ENSG00000260762,100421779,
ACSM6,HGNC:31665,ACSM6,10,protein-coding gene,gene with protein product,,2014-05-29,ENSG00000173124,142827,Q6P461
ACSS1,HGNC:16091,ACSS1,20,protein-coding gene,gene with protein product,,2005-09-08,ENSG00000154930,84532,Q9NUB1
ACSS2,HGNC:15814,ACSS2,20,protein-coding gene,gene with protein product,,2005-09-08,ENSG00000131069,55902,Q9NR19
ACSS3,HGNC:24723,ACSS3,12,protein-coding gene,gene with protein product,,,ENSG00000111058,79611,Q9H6R3
ACTA1,HGNC:129,ACTA1,1,protein-coding gene,gene with protein product,,,ENSG00000143632,58,P68133
ACTA2,HGNC:130,ACTA2,10,protein-coding gene,gene with protein product,,,ENSG00000107796,59,P62736
ACTA2-AS1,HGNC:45169,ACTA2-AS1,10,non-coding RNA,"RNA, long non-coding",,,ENSG00000180139,100132116,
ACTB,HGNC:132,ACTB,7,protein-coding gene,gene with protein product,,,ENSG00000075624,60,P60709
ACTBL2,HGNC:17780,ACTBL2,5,protein-coding gene,gene with protein product,,,ENSG00000169067,345651,Q562R1
ACTBP1,HGNC:134,ACTBP1,X,pseudogene,pseudogene,,,ENSG00000229145,643309,
ACTBP2,HGNC:135,ACTBP2,5,pseudogene,pseudogene,,,ENSG00000213763,62,
ACTBP3,HGNC:136,ACTBP3,18,pseudogene,pseudogene,,,,63,
ACTBP4,HGNC:137,ACTBP4,5,pseudogene,pseudogene,,,ENSG00000286676,64,
ACTBP6,HGNC:139,ACTBP6,8,pseudogene,pseudogene,,,ENSG00000203413,66,
ACTBP7,HGNC:140,ACTBP7,15,pseudogene,pseudogene,,,ENSG00000185607,67,
ACTBP8,HGNC:141,ACTBP8,6,pseudogene,pseudogene,,,ENSG00000220267,68,
ACTBP9,HGNC:142,ACTBP9,18,pseudogene,pseudogene,,,ENSG00000266920,69,
ACTBP10,HGNC:31819,ACTBP10,14,pseudogene,pseudogene,,,,446207,
ACTBP11,HGNC:33971,ACTBP11,1,pseudogene,pseudogene,,,ENSG00000188460,644220,
ACTBP12,HGNC:150,ACTBP12,1,pseudogene,pseudogene,,2009-12-16,ENSG00000233125,100462767,
ACTBP14,HGNC:45086,ACTBP14,10,pseudogene,pseudogene,,,ENSG00000229001,389976,
ACTBP15,HGNC:55065,ACTBP15,22,pseudogene,pseudogene,,,ENSG00000213857,391334,
ACTC1,HGNC:143,ACTC1,15,protein-coding gene,gene with protein product,,2006-08-24,ENSG00000159251,70,P68032
ACTE1P,HGNC:51491,ACTE1P,11,pseudogene,pseudogene,,,ENSG00000172900,399923,
ACTG1,HGNC:144,ACTG1,17,protein-coding gene,gene with protein product,,,ENSG00000184009,71,P63261
ACTG1P1,HGNC:146,ACTG1P1,3,pseudogene,pseudogene,,2009-12-11,ENSG00000178631,73,
ACTG1P2,HGNC:147,ACTG1P2,Y,pseudogene,pseudogene,,2009-12-14,ENSG00000229129,74,
ACTG1P3,HGNC:148,ACTG1P3,20,pseudogene,pseudogene,,2009-12-14,ENSG00000215388,75,
ACTG1P4,HGNC:149,ACTG1P4,1,pseudogene,pseudogene,,2009-12-15,ENSG00000236085,648740,
ACTG1P6,HGNC:151,ACTG1P6,1,pseudogene,pseudogene,,2009-12-16,,78,
ACTG1P7,HGNC:152,ACTG1P7,1,pseudogene,pseudogene,,2009-12-16,,79,
ACTG1P8,HGNC:153,ACTG1P8,1,pseudogene,pseudogene,,2009-12-16,,80,
ACTG1P9,HGNC:154,ACTG1P9,6,pseudogene,pseudogene,,2009-12-15,ENSG00000229349,82,
ACTG1P10,HGNC:155,ACTG1P10,X,pseudogene,pseudogene,,2009-12-15,ENSG00000231340,83,
ACTG1P11,HGNC:37651,ACTG1P11,Y,pseudogene,pseudogene,,,ENSG00000229465,414754,
ACTG1P12,HGNC:44496,ACTG1P12,3,pseudogene,pseudogene,,,ENSG00000226642,100418921,
ACTG1P13,HGNC:49058,ACTG1P13,3,pseudogene,pseudogene,,,ENSG00000241305,100418920,
ACTG1P14,HGNC:49751,ACTG1P14,9,pseudogene,pseudogene,,,ENSG00000230581,100418910,
ACTG1P15,HGNC:51495,ACTG1P15,15,pseudogene,pseudogene,,,ENSG00000259904,100418951,
ACTG1P16,HGNC:51496,ACTG1P16,16,pseudogene,pseudogene,,,ENSG00000260298,100418960,
ACTG1P17,HGNC:51497,ACTG1P17,15,pseudogene,pseudogene,,,ENSG00000259315,283693,
ACTG1P18,HGNC:51498,ACTG1P18,6,pseudogene,pseudogene,,,ENSG00000218475,100418924,
ACTG1P19,HGNC:51499,ACTG1P19,9,pseudogene,pseudogene,,,ENSG00000237999,644160,
ACTG1P20,HGNC:51500,ACTG1P20,1,pseudogene,pseudogene,,,ENSG00000241547,644961,
ACTG1P21,HGNC:51501,ACTG1P21,1,pseudogene,pseudogene,,,ENSG00000232672,100131291,
ACTG1P22,HGNC:51502,ACTG1P22,2,pseudogene,pseudogene,,,ENSG00000271615,100131953,
ACTG1P23,HGNC:51503,ACTG1P23,3,pseudogene,pseudogene,,,ENSG00000230362,442097,
ACTG1P24,HGNC:49661,ACTG1P24,17,pseudogene,pseudogene,,2015-01-26,ENSG00000226359,441783,
ACTG1P25,HGNC:54872,ACTG1P25,1,pseudogene,pseudogene,,,ENSG00000234996,148709,
ACTG2,HGNC:145,ACTG2,2,protein-coding gene,gene with protein product,,,ENSG00000163017,72,P63267
ACTL6A,HGNC:24124,ACTL6A,3,protein-coding gene,gene with protein product,,,ENSG00000136518,86,O96019
ACTL6B,HGNC:160,ACTL6B,7,protein-coding gene,gene with protein product,,2004-07-14,ENSG00000077080,51412,O94805
ACTL7A,HGNC:161,ACTL7A,9,protein-coding gene,gene with protein product,,,ENSG00000187003,10881,Q9Y615
ACTL7B,HGNC:162,ACTL7B,9,protein-coding gene,gene with protein product,,,ENSG00000148156,10880,Q9Y614
ACTL8,HGNC:24018,ACTL8,1,protein-coding gene,gene with protein product,,,ENSG00000117148,81569,Q9H568
ACTL9,HGNC:28494,ACTL9,19,protein-coding gene,gene with protein product,,,ENSG00000181786,284382,Q8TC94
ACTL10,HGNC:16127,ACTL10,20,protein-coding gene,gene with protein product,,2011-11-24,ENSG00000288649,170487,Q5JWF8
ACTL11P,HGNC:44626,ACTL11P,3,pseudogene,pseudogene,,2020-08-14,ENSG00000234667,389120,
ACTN1,HGNC:163,ACTN1,14,protein-coding gene,gene with protein product,,,ENSG00000072110,87,P12814
ACTN1-DT,HGNC:20131,ACTN1-DT,14,non-coding RNA,"RNA, long non-coding",,2021-01-14,ENSG00000259062,161159,
ACTN2,HGNC:164,ACTN2,1,protein-coding gene,gene with protein product,,,ENSG00000077522,88,P35609
ACTN3,HGNC:165,ACTN3,11,protein-coding gene,gene with protein product,,,ENSG00000248746,89,Q08043
ACTN4,HGNC:166,ACTN4,19,protein-coding gene,gene with protein product,,,ENSG00000130402,81,O43707
ACTN4P1,HGNC:44028,ACTN4P1,4,pseudogene,pseudogene,,,ENSG00000213493,344978,
ACTN4P2,HGNC:44032,ACTN4P2,1,pseudogene,pseudogene,,,ENSG00000214141,391026,
ACTP1,HGNC:51621,ACTP1,2,pseudogene,pseudogene,,,ENSG00000229890,106480335,
ACTR1A,HGNC:167,ACTR1A,10,protein-coding gene,gene with protein product,,,ENSG00000138107,10121,P61163
ACTR1AP1,HGNC:54703,ACTR1AP1,2,pseudogene,pseudogene,,,ENSG00000233370,100287074,
ACTR1B,HGNC:168,ACTR1B,2,protein-coding gene,gene with protein product,,,ENSG00000115073,10120,P42025
ACTR2,HGNC:169,ACTR2,2,protein-coding gene,gene with protein product,,,ENSG00000138071,10097,P61160
ACTR3,HGNC:170,ACTR3,2,protein-coding gene,gene with protein product,,,ENSG00000115091,10096,P61158
ACTR3-AS1,HGNC:53965,ACTR3-AS1,2,non-coding RNA,"RNA, long non-coding",,,,101060091,
ACTR3B,HGNC:17256,ACTR3B,7,protein-coding gene,gene with protein product,,,ENSG00000133627,57180,Q9P1U1
ACTR3BP1,HGNC:37724,ACTR3BP1,Y,pseudogene,pseudogene,,,ENSG00000270242,643050,
ACTR3BP2,HGNC:38677,ACTR3BP2,2,pseudogene,pseudogene,,,ENSG00000226481,440888,
ACTR3BP3,HGNC:38678,ACTR3BP3,16,pseudogene,pseudogene,,,ENSG00000260327,647156,
ACTR3BP4,HGNC:38681,ACTR3BP4,4,pseudogene,pseudogene,,,ENSG00000249283,777774,
ACTR3BP5,HGNC:38682,ACTR3BP5,10,pseudogene,pseudogene,,,ENSG00000227264,399746,
ACTR3BP6,HGNC:38683,ACTR3BP6,22,pseudogene,pseudogene,,,ENSG00000280263,644773,
ACTR3BP7,HGNC:54971,ACTR3BP7,22,pseudogene,pseudogene,,,ENSG00000226444,100289004,
ACTR3C,HGNC:37282,ACTR3C,7,protein-coding gene,gene with protein product,,,ENSG00000106526,653857,Q9C0K3
ACTR3P1,HGNC:31820,ACTR3P1,14,pseudogene,pseudogene,,,,100288580,
ACTR3P2,HGNC:38676,ACTR3P2,X,pseudogene,pseudogene,,,ENSG00000232267,100129013,
ACTR3P3,HGNC:38679,ACTR3P3,3,pseudogene,pseudogene,,,ENSG00000242573,100128020,
ACTR5,HGNC:14671,ACTR5,20,protein-coding gene,gene with protein product,,,ENSG00000101442,79913,Q9H9F9
ACTR6,HGNC:24025,ACTR6,12,protein-coding gene,gene with protein product,,,ENSG00000075089,64431,Q9GZN1
ACTR6P1,HGNC:44210,ACTR6P1,4,pseudogene,pseudogene,,,ENSG00000248915,100421495,
ACTR8,HGNC:14672,ACTR8,3,protein-coding gene,gene with protein product,,,ENSG00000113812,93973,Q9H981
ACTR10,HGNC:17372,ACTR10,14,protein-coding gene,gene with protein product,,,ENSG00000131966,55860,Q9NZ32
ACTRT1,HGNC:24027,ACTRT1,X,protein-coding gene,gene with protein product,,,ENSG00000123165,139741,Q8TDG2
ACTRT1P1,HGNC:55127,ACTRT1P1,X,pseudogene,pseudogene,,,ENSG00000235239,100128268,
ACTRT2,HGNC:24026,ACTRT2,1,protein-coding gene,gene with protein product,,,ENSG00000169717,140625,Q8TDY3
ACTRT3,HGNC:24022,ACTRT3,3,protein-coding gene,gene with protein product,,,ENSG00000184378,84517,Q9BYD9
ACVR1,HGNC:171,ACVR1,2,protein-coding gene,gene with protein product,,,ENSG00000115170,90,Q04771
ACVR1B,HGNC:172,ACVR1B,12,protein-coding gene,gene with protein product,,,ENSG00000135503,91,P36896
ACVR1C,HGNC:18123,ACVR1C,2,protein-coding gene,gene with protein product,,,ENSG00000123612,130399,Q8NER5
ACVR2A,HGNC:173,ACVR2A,2,protein-coding gene,gene with protein product,,2005-05-10,ENSG00000121989,92,P27037
ACVR2B,HGNC:174,ACVR2B,3,protein-coding gene,gene with protein product,,,ENSG00000114739,93,Q13705
ACVR2B-AS1,HGNC:44161,ACVR2B-AS1,3,non-coding RNA,"RNA, long non-coding",,,ENSG00000229589,100128640,
ACVRL1,HGNC:175,ACVRL1,12,protein-coding gene,gene with protein product,,,ENSG00000139567,94,P37023
ACY1,HGNC:177,ACY1,3,protein-coding gene,gene with protein product,,,ENSG00000243989,95,Q03154
ACY3,HGNC:24104,ACY3,11,protein-coding gene,gene with protein product,,,ENSG00000132744,91703,Q96HD9
ACYP1,HGNC:179,ACYP1,14,protein-coding gene,gene with protein product,,,ENSG00000119640,97,P07311
ACYP2,HGNC:180,ACYP2,2,protein-coding gene,gene with protein product,,,ENSG00000170634,98,P14621
ADA,HGNC:186,ADA,20,protein-coding gene,gene with protein product,,,ENSG00000196839,100,P00813
ADA2,HGNC:1839,ADA2,22,protein-coding gene,gene with protein product,,2017-02-16,ENSG00000093072,51816,Q9NZK5
ADAD1,HGNC:30713,ADAD1,4,protein-coding gene,gene with protein product,,,ENSG00000164113,132612,Q96M93
ADAD1P1,HGNC:44550,ADAD1P1,3,pseudogene,pseudogene,,,,100422386,
ADAD1P2,HGNC:44552,ADAD1P2,18,pseudogene,pseudogene,,,ENSG00000267511,100422407,
ADAD2,HGNC:30714,ADAD2,16,protein-coding gene,gene with protein product,,,ENSG00000140955,161931,Q8NCV1
ADAL,HGNC:31853,ADAL,15,protein-coding gene,gene with protein product,,,ENSG00000168803,161823,Q6DHV7
ADAM1A,HGNC:187,ADAM1A,12,pseudogene,pseudogene,,2012-08-22,ENSG00000229186,8759,
ADAM1B,HGNC:44366,ADAM1B,12,pseudogene,pseudogene,,,ENSG00000226469,100420505,
ADAM2,HGNC:198,ADAM2,8,protein-coding gene,gene with protein product,,,ENSG00000104755,2515,Q99965
ADAM3A,HGNC:209,ADAM3A,8,pseudogene,pseudogene,,,ENSG00000197475,1587,
ADAM3B,HGNC:210,ADAM3B,16,pseudogene,pseudogene,,,ENSG00000260089,1596,
ADAM5,HGNC:212,ADAM5,8,pseudogene,pseudogene,,2012-08-22,ENSG00000196115,255926,Q6NVV9
ADAM6,HGNC:213,ADAM6,14,pseudogene,pseudogene,,,ENSG00000271968,8755,
ADAM7,HGNC:214,ADAM7,8,protein-coding gene,gene with protein product,,,ENSG00000069206,8756,Q9H2U9
ADAM8,HGNC:215,ADAM8,10,protein-coding gene,gene with protein product,,,ENSG00000151651,101,P78325
ADAM9,HGNC:216,ADAM9,8,protein-coding gene,gene with protein product,,,ENSG00000168615,8754,Q13443
ADAM10,HGNC:188,ADAM10,15,protein-coding gene,gene with protein product,,,ENSG00000137845,102,O14672
ADAM11,HGNC:189,ADAM11,17,protein-coding gene,gene with protein product,,,ENSG00000073670,4185,O75078
ADAM12,HGNC:190,ADAM12,10,protein-coding gene,gene with protein product,,,ENSG00000148848,8038,O43184
ADAM15,HGNC:193,ADAM15,1,protein-coding gene,gene with protein product,,,ENSG00000143537,8751,Q13444
ADAM17,HGNC:195,ADAM17,2,protein-coding gene,gene with protein product,,,ENSG00000151694,6868,P78536
ADAM18,HGNC:196,ADAM18,8,protein-coding gene,gene with protein product,,,ENSG00000168619,8749,Q9Y3Q7
ADAM19,HGNC:197,ADAM19,5,protein-coding gene,gene with protein product,,,ENSG00000135074,8728,Q9H013
ADAM20,HGNC:199,ADAM20,14,protein-coding gene,gene with protein product,,,ENSG00000134007,8748,O43506
ADAM20P1,HGNC:20102,ADAM20P1,14,pseudogene,pseudogene,,2012-04-30,ENSG00000259158,317760,
ADAM20P2,HGNC:43901,ADAM20P2,4,pseudogene,pseudogene,,,ENSG00000248574,100533671,
ADAM20P3,HGNC:43902,ADAM20P3,4,pseudogene,pseudogene,,,ENSG00000249162,644325,
ADAM21,HGNC:200,ADAM21,14,protein-coding gene,gene with protein product,,,ENSG00000139985,8747,Q9UKJ8
ADAM21P1,HGNC:19822,ADAM21P1,14,pseudogene,pseudogene,,2010-01-12,ENSG00000235812,145241,
ADAM22,HGNC:201,ADAM22,7,protein-coding gene,gene with protein product,,,ENSG00000008277,53616,Q9P0K1
ADAM23,HGNC:202,ADAM23,2,protein-coding gene,gene with protein product,,,ENSG00000114948,8745,O75077
ADAM24P,HGNC:203,ADAM24P,8,pseudogene,pseudogene,,,ENSG00000214607,646479,
ADAM28,HGNC:206,ADAM28,8,protein-coding gene,gene with protein product,,,ENSG00000042980,10863,Q9UKQ2
ADAM29,HGNC:207,ADAM29,4,protein-coding gene,gene with protein product,,,ENSG00000168594,11086,Q9UKF5
ADAM30,HGNC:208,ADAM30,1,protein-coding gene,gene with protein product,,,ENSG00000134249,11085,Q9UKF2
ADAM32,HGNC:15479,ADAM32,8,protein-coding gene,gene with protein product,,,ENSG00000197140,203102,Q8TC27
ADAM33,HGNC:15478,ADAM33,20,protein-coding gene,gene with protein product,,,ENSG00000149451,80332,Q9BZ11
ADAMDEC1,HGNC:16299,ADAMDEC1,8,protein-coding gene,gene with protein product,,,ENSG00000134028,27299,O15204
ADAMTS1,HGNC:217,ADAMTS1,21,protein-coding gene,gene with protein product,,,ENSG00000154734,9510,Q9UHI8
ADAMTS2,HGNC:218,ADAMTS2,5,protein-coding gene,gene with protein product,,,ENSG00000087116,9509,O95450
ADAMTS3,HGNC:219,ADAMTS3,4,protein-coding gene,gene with protein product,,,ENSG00000156140,9508,O15072
ADAMTS4,HGNC:220,ADAMTS4,1,protein-coding gene,gene with protein product,,,ENSG00000158859,9507,O75173
ADAMTS5,HGNC:221,ADAMTS5,21,protein-coding gene,gene with protein product,,,ENSG00000154736,11096,Q9UNA0
ADAMTS6,HGNC:222,ADAMTS6,5,protein-coding gene,gene with protein product,,,ENSG00000049192,11174,Q9UKP5
ADAMTS7,HGNC:223,ADAMTS7,15,protein-coding gene,gene with protein product,,,ENSG00000136378,11173,Q9UKP4
ADAMTS7P1,HGNC:49407,ADAMTS7P1,15,pseudogene,pseudogene,,,ENSG00000274376,390660,
ADAMTS7P3,HGNC:49409,ADAMTS7P3,15,pseudogene,pseudogene,,,ENSG00000261143,400406,
ADAMTS7P4,HGNC:49410,ADAMTS7P4,15,pseudogene,pseudogene,,,ENSG00000218052,642935,
ADAMTS8,HGNC:224,ADAMTS8,11,protein-coding gene,gene with protein product,,,ENSG00000134917,11095,Q9UP79
ADAMTS9,HGNC:13202,ADAMTS9,3,protein-coding gene,gene with protein product,,,ENSG00000163638,56999,Q9P2N4
ADAMTS9-AS1,HGNC:40625,ADAMTS9-AS1,3,non-coding RNA,"RNA, long non-coding",,,ENSG00000241158,101929335,
ADAMTS9-AS2,HGNC:42435,ADAMTS9-AS2,3,non-coding RNA,"RNA, long non-coding",,,ENSG00000241684,100507098,
ADAMTS10,HGNC:13201,ADAMTS10,19,protein-coding gene,gene with protein product,,,ENSG00000142303,81794,Q9H324
ADAMTS12,HGNC:14605,ADAMTS12,5,protein-coding gene,gene with protein product,,,ENSG00000151388,81792,P58397
ADAMTS13,HGNC:1366,ADAMTS13,9,protein-coding gene,gene with protein product,,2001-09-21,ENSG00000160323,11093,Q76LX8
ADAMTS14,HGNC:14899,ADAMTS14,10,protein-coding gene,gene with protein product,,,ENSG00000138316,140766,Q8WXS8
ADAMTS15,HGNC:16305,ADAMTS15,11,protein-coding gene,gene with protein product,,,ENSG00000166106,170689,Q8TE58
ADAMTS16,HGNC:17108,ADAMTS16,5,protein-coding gene,gene with protein product,,,ENSG00000145536,170690,Q8TE57
ADAMTS16-DT,HGNC:55548,ADAMTS16-DT,5,non-coding RNA,"RNA, long non-coding",,,ENSG00000250579,101929176,
ADAMTS17,HGNC:17109,ADAMTS17,15,protein-coding gene,gene with protein product,,,ENSG00000140470,170691,Q8TE56
ADAMTS18,HGNC:17110,ADAMTS18,16,protein-coding gene,gene with protein product,,,ENSG00000140873,170692,Q8TE60
ADAMTS19,HGNC:17111,ADAMTS19,5,protein-coding gene,gene with protein product,,,ENSG00000145808,171019,Q8TE59
ADAMTS19-AS1,HGNC:40797,ADAMTS19-AS1,5,non-coding RNA,"RNA, long non-coding",,,ENSG00000249421,103689846,
ADAMTS20,HGNC:17178,ADAMTS20,12,protein-coding gene,gene with protein product,,,ENSG00000173157,80070,P59510
ADAMTSL1,HGNC:14632,ADAMTSL1,9,protein-coding gene,gene with protein product,,,ENSG00000178031,92949,Q8N6G6
ADAMTSL2,HGNC:14631,ADAMTSL2,9,protein-coding gene,gene with protein product,,,ENSG00000197859,9719,Q86TH1
ADAMTSL3,HGNC:14633,ADAMTSL3,15,protein-coding gene,gene with protein product,,,ENSG00000156218,57188,P82987
ADAMTSL4,HGNC:19706,ADAMTSL4,1,protein-coding gene,gene with protein product,,2005-12-01,ENSG00000143382,54507,Q6UY14
ADAMTSL4-AS1,HGNC:32041,ADAMTSL4-AS1,1,non-coding RNA,"RNA, long non-coding",,2013-08-29,ENSG00000203804,574406,Q5T5F5
ADAMTSL4-AS2,HGNC:40895,ADAMTSL4-AS2,1,non-coding RNA,"RNA, long non-coding",,,ENSG00000237781,100289061,
ADAMTSL5,HGNC:27912,ADAMTSL5,19,protein-coding gene,gene with protein product,,2006-02-07,ENSG00000185761,339366,Q6ZMM2
ADAP1,HGNC:16486,ADAP1,7,protein-coding gene,gene with protein product,,2008-09-22,ENSG00000105963,11033,O75689
ADAP2,HGNC:16487,ADAP2,17,protein-coding gene,gene with protein product,,2008-09-22,ENSG00000184060,55803,Q9NPF8
ADAR,HGNC:225,ADAR,1,protein-coding gene,gene with protein product,,,ENSG00000160710,103,P55265
ADARB1,HGNC:226,ADARB1,21,protein-coding gene,gene with protein product,,,ENSG00000197381,104,P78563
ADARB2,HGNC:227,ADARB2,10,protein-coding gene,gene with protein product,,,ENSG00000185736,105,Q9NS39
ADARB2-AS1,HGNC:23299,ADARB2-AS1,10,non-coding RNA,"RNA, long non-coding",,2011-08-11,ENSG00000205696,642394,A8MUL3
ADAT1,HGNC:228,ADAT1,16,protein-coding gene,gene with protein product,,,ENSG00000065457,23536,Q9BUB4
ADAT2,HGNC:21172,ADAT2,6,protein-coding gene,gene with protein product,,2007-08-16,ENSG00000189007,134637,Q7Z6V5
ADAT3,HGNC:25151,ADAT3,19,protein-coding gene,gene with protein product,,,ENSG00000213638,113179,Q96EY9
ADCK1,HGNC:19038,ADCK1,14,protein-coding gene,gene with protein product,,,ENSG00000063761,57143,Q86TW2
ADCK2,HGNC:19039,ADCK2,7,protein-coding gene,gene with protein product,,,ENSG00000133597,90956,Q7Z695
ADCK5,HGNC:21738,ADCK5,8,protein-coding gene,gene with protein product,,,ENSG00000173137,203054,Q3MIX3
ADCP1,HGNC:229,ADCP1,6,other,unknown,,,,106,
ADCY1,HGNC:232,ADCY1,7,protein-coding gene,gene with protein product,,,ENSG00000164742,107,Q08828
ADCY2,HGNC:233,ADCY2,5,protein-coding gene,gene with protein product,,,ENSG00000078295,108,Q08462
ADCY3,HGNC:234,ADCY3,2,protein-coding gene,gene with protein product,,,ENSG00000138031,109,O60266
ADCY4,HGNC:235,ADCY4,14,protein-coding gene,gene with protein product,,,ENSG00000129467,196883,Q8NFM4
ADCY5,HGNC:236,ADCY5,3,protein-coding gene,gene with protein product,,,ENSG00000173175,111,O95622
ADCY6,HGNC:237,ADCY6,12,protein-coding gene,gene with protein product,,,ENSG00000174233,112,O43306
ADCY6-DT,HGNC:53332,ADCY6-DT,12,non-coding RNA,"RNA, long non-coding",,,ENSG00000257660,100506125,
ADCY7,HGNC:238,ADCY7,16,protein-coding gene,gene with protein product,,,ENSG00000121281,113,P51828
ADCY8,HGNC:239,ADCY8,8,protein-coding gene,gene with protein product,,,ENSG00000155897,114,P40145
ADCY9,HGNC:240,ADCY9,16,protein-coding gene,gene with protein product,,,ENSG00000162104,115,O60503
ADCY10,HGNC:21285,ADCY10,1,protein-coding gene,gene with protein product,,,ENSG00000143199,55811,Q96PN6
ADCY10P1,HGNC:44143,ADCY10P1,6,pseudogene,pseudogene,,,ENSG00000161912,221442,
ADCYAP1,HGNC:241,ADCYAP1,18,protein-coding gene,gene with protein product,,,ENSG00000141433,116,P18509
ADCYAP1R1,HGNC:242,ADCYAP1R1,7,protein-coding gene,gene with protein product,,,ENSG00000078549,117,P41586
ADD1,HGNC:243,ADD1,4,protein-coding gene,gene with protein product,,,ENSG00000087274,118,P35611
ADD2,HGNC:244,ADD2,2,protein-coding gene,gene with protein product,,,ENSG00000075340,119,P35612
